No,Clause,RiskRegex
1,"분쟁 발생 시 당사자는 주택임대차분쟁조정위원회 조정을 우선 시도하되, 조정 불성립 또는 접수 후 30일 경과 시 각 당사자는 법원에 제소할 수 있다. 본 조항은 부제소합의로 해석하지 않는다.",소\s*제기\s*불가|제소\s*금지|법원.*이용.*불가|임대인\s*지정.*절차.*만
2,"임대인은 철거 또는 재건축 계획이 있는 경우 공사 시기·기간·이주 보상계획을 계약 체결 전에 서면으로 고지한다. 계약기간 중 공사가 확정되어 거주에 중대한 지장이 발생하는 경우 임차인은 위약금 없이 해지하거나, 해당 기간 임대료의 일할 감액을 청구할 수 있다.",철거|재건축.*(고지하지 않|고지 의무 없)|공사.*(감액\s*불가|해지\s*불가)
3,"임대인은 상세주소(동·호수) 부여 신청 및 관련 행정절차에 필요한 서류를 제공하고, 정당한 사유 없이 동의를 거절하지 않는다.",상세주소.*(불가|거절)|전입신고.*(불가|금지|동의.*없.*불가)
4,"임차인이 본 임대차계약의 보증금이나 임대료 지급과 관련하여 신청한 대출이 거절될 경우, 본 임대차계약은 무효로 되며, 임대인은 즉시 임차인에게 계약금을 반환해야 한다.",대출.*거절.*(계약\s*유효|계약금.*반환\s*하지 않)
5,"임차인의 차임 연체 시 지연손해금은 법령 범위 내 연 ○% 이내의 이율로 일할 계산하며, 별도의 정액 가산금은 부과하지 않는다.",연체.*((1\d|[2-9]\d)\s*%|정액\s*가산)|일할\s*계산\s*없
6,"임대인은 임대차보증금 중 계약금을 제외한 나머지 잔금을 지급 받음과 동시에 근저당권을 말소해야 하고, 체납된 세금이 있으면 모두 완납해야 하며, 기타 임차인의 권리를 해할 수 있는 일체의 권리(가압류, 압류, 가등기, 가처분, 근저당권 등 담보물권, 임차권, 유치권, 조세채권 등)를 소멸시키고 관련 등기는 말소해야 한다. 이 경우 임대인이 근저당권 등 일체의 권리를 소멸시키거나 말소할 의무를 지체하거나 불이행하는 경우, 임대인은 임차인이 입은 일체의 손해를 배상해야 한다.",(근저당|가압류|압류).*(말소.*의무.*없|말소.*지체)|체납.*(완납|정산).*(의무.*없)
7,"임대인은 임대차 보증금의 잔금을 지급 받은 때로부터 5일이 경과할 때까지 임대차 목적물을 제3자에게 매도하거나 임대차 목적물에 근저당권 등 새로운 권리를 설정할 수 없으며, 이를 위반할 경우 일체의 손해를 배상해야 한다.",잔금.*(매도|설정).*(즉시|가능)|제3자.*매도.*가능|새로운\s*권리.*설정.*가능
8,"임차인의 전대는 임대인의 사전 서면 동의 하에 가능하며, 임대인은 합리적 사유 없이 동의를 거절하지 않는다. 전대 동의만으로 기존 차임·보증금 등 임차조건을 일방적으로 변경할 수 없다.",전대.*(절대|어떠한 경우에도).*불가|전대.*위반.*(보증금.*(몰수|몰취))
9,"임대인은 보일러, 상하수도, 전기시설 등 주요 구성부분이나 기본 설비부분에 대한 수선의무를 부담한다.",(임대인).*(수선의무|수리의무).*(없|면제)|하자.*(임차인.*책임)
10,"옵션으로 제공된 에어컨, 냉장고, 세탁기, 가스레인지에서 하자가 발생할 경우, 임대인이 임차인의 고의 또는 과실에 의한 하자라는 것을 입증하지 못하는 한 임대인이 수선의무를 부담해야 한다.",(에어컨|냉장고|세탁기|가스레인지).*(하자).*(임차인.*부담|임대인.*책임.*없)
11,"싱크대, 변기, 세면대, 신발장 등 붙박이장에서 하자가 발생할 경우, 임대인이 임차인의 고의 또는 과실에 의한 하자라는 것을 입증하지 못하는 한 임대인이 수선의무를 부담해야 한다.",(싱크대|변기|세면대|신발장|붙박이).*(하자).*(임차인.*부담|임대인.*책임.*없)
12,"소모품 중 LED 전구 등 반영구적인 제품에 하자가 발생할 경우, 임대인이 임차인의 고의 또는 과실에 의한 하자라는 것을 입증하지 못하는 한 임대인이 수선의무를 부담해야 한다.",(LED|전구|소모품).*(하자).*(임차인.*부담|임대인.*책임.*없)
13,"1만원 이하의 비용을 요하는 소모품 교체나 소규모 수선 의무는 임차인이 부담하기로 하고, 1만원을 초과하는 비용을 필요로 하는 기타 나머지 수선 의무는 임대인이 부담하기로 한다.",(모든|일체|전체).*(수선|교체).*(임차인.*부담)|1\s*만\s*원.*초과.*임차인
14,임대차 계약 종료 시 임대차 목적물의 상태가 나빠지는 등 가치가 감소하더라도 임대인이 그러한 가치 감소가 통상의 손모가 아니라는 점을 입증하지 못하는 이상 임차인은 원상회복의무가 없다.,통상(의)?\s*손모.*(포함|임차인.*부담)|원상회복.*정액|감가상각.*불인정
15,임대인은 구조부·보일러·상하수도·전기 등 목적물의 주요 구성부분 및 기본설비 하자를 지체 없이 수선한다. 해당 의무를 임차인에게 전가하거나 면책하는 특약은 두지 않는다.,(임대인).*(수선의무|수리의무).*(없|면제)|하자.*(임차인.*책임)
