No,GoodExample,BadExample,RiskKeywords
1,"분쟁 발생 시 당사자는 분쟁조정위원회 조정을 먼저 진행하고, 불성립 또는 30일 경과 시 소송을 제기할 수 있다. 본 조항은 소송권을 제한하지 않는다.","임차인은 법원에 소를 제기할 수 없고, 임대인이 지정하는 절차로만 분쟁을 해결한다.",소\s*제기\s*불가|제소\s*금지|법원.*이용.*불가|임대인\s*지정.*절차
2,"임대인은 철거·재건축 계획을 계약 전 서면으로 고지하며, 공사로 거주가 곤란하면 임차인은 해지 또는 임대료 감액을 청구할 수 있다.","임대인은 철거·재건축 계획을 통지할 의무가 없고, 공사로 인한 불편에 대한 임대료 감액이나 해지는 허용되지 않는다.",철거|재건축.*(고지.*없|통지.*없)|공사.*(감액\s*불가|해지\s*불가)
3,상세주소(동·호수) 부여를 위해 임대인은 필요한 서류를 제공하고 정당한 사유 없이 동의를 거절하지 않는다.,"임차인은 상세주소 부여 신청을 할 수 없으며, 임대인은 이에 협조하지 않는다.",상세주소.*(불가|거절)|주소\s*부여.*동의.*없
4,"보증금·차임 대출이 거절되면 계약은 무효로 하고, 임대인은 계약금을 즉시 반환한다.",임차인이 대출을 받지 못하더라도 계약은 유효하며 계약금은 반환하지 않는다.,대출.*거절.*(계약\s*유효|계약금.*반환.*않)
5,"차임 연체 시 지연손해금은 법령 범위 내 연 ○% 이하로 일할 계산하며, 정액 가산금은 부과하지 않는다.",월세가 1일만 연체되어도 월세의 20%를 가산금으로 즉시 지급한다.,연체.*((1\d|[2-9]\d)\s*%|정액\s*가산)|일할\s*계산\s*없
6,"잔금 수령과 동시에 근저당·체납세금 등 임차인 권리를 해할 권리는 모두 말소·정리하며, 불이행 시 손해를 배상한다.","임대인은 말소 의무가 없고, 권리관계로 인한 손해는 임차인이 부담한다.",(근저당|가압류|압류|체납).*(말소.*의무.*없|손해.*임차인.*부담)|고지.*의무.*없
7,보증금 잔금 수령 후 5일 동안 제3자 매도나 새로운 권리 설정을 하지 않는다.,보증금 잔금 지급 이후에도 임대인은 즉시 매도하거나 새로운 권리를 설정할 수 있다.,잔금.*(매도|설정).*(즉시|가능)|제3자.*매도.*가능
8,"전대는 임대인의 사전 서면 동의 하에 가능하며, 임대인은 합리적 사유 없이 동의를 거절하지 않는다.","전대는 어떤 경우에도 허용되지 않으며, 위반 시 보증금은 전액 몰수한다.",전대.*(절대|어떠한 경우에도).*불가|전대.*위반.*(보증금.*(몰수|몰취))
9,보일러·상하수도·전기 등 주요 설비의 하자는 임대인이 지체 없이 수선한다.,목적물 하자에 대해 임대인은 수선의무를 지지 않는다.,(임대인).*(수선의무|수리의무).*(없|면제)
10,옵션 가전 하자 시 임대인이 임차인의 고의·과실을 입증하지 못하면 임대인이 수선한다.,에어컨·냉장고·세탁기 등 하자는 모두 임차인이 부담한다.,(에어컨|냉장고|세탁기|가스레인지).*(하자).*(임차인.*부담|임대인.*책임.*없)
